brand,name,year_introduced,year_discontinued,num_strings,scale_length_min_inches,scale_length_max_inches,num_frets,fret_material,is_fretless,fretboard_material,fretboard_radius,neck_construction,neck_material,neck_profile,neck_depth_1st_fret_mm,neck_depth_12th_fret_mm,nut_width_mm,body_material,body_shape,headstock_type,selector_switch,country_of_origin,bridge,nut,tuners,pickup_bridge,pickup_middle,pickup_neck
ESP LTD,EC-1000FR,,,6,24.75,24.75,24,Stainless steel,false,Macassar Ebony,,Set-neck,Mahogany,Thin U,,,42.0,Mahogany,Eclipse,3+3,3-way toggle,South Korea,Floyd Rose 1000SE,Locking Nut 42mm,Grover Tuners,EMG 81,,EMG 60
ESP LTD,EC-1000 EverTune,,,6,24.75,24.75,24,Stainless steel,false,Macassar Ebony,,Set-neck,Mahogany,Thin U,,,42.0,Mahogany/Maple Top,Eclipse,3+3,3-way toggle,South Korea,Evertune F Model,Molded Nut 42mm,Grover Tuners,SD JB,,SD Jazz
ESP LTD,EC-1007 Baritone EverTune,,,7,27.0,27.0,24,Stainless steel,false,Macassar Ebony,,Set-neck,Mahogany,Thin U,,,48.0,Mahogany/Maple Top,Eclipse,4+3,3-way toggle,South Korea,Evertune F Model,Molded Nut 48mm,LTD Locking Tuners,Fishman Fluence Modern Ceramic,,Fishman Fluence Modern Alnico
ESP LTD,EC-256,,,6,24.75,24.75,22,Nickel-silver,false,Rosewood,,Set-neck,Mahogany,Thin U,,,42.0,Mahogany,Eclipse,3+3,3-way toggle,South Korea,TOM & Tailpiece,Molded Nut 42mm,LTD Tuners,ESP LH-150B,,ESP LH-150N
ESP LTD,MH-1000,,,6,25.5,25.5,24,Stainless steel,false,Macassar Ebony,,Neck-through,3-piece Maple,,,,42.0,Mahogany/Quilted Maple Top,Superstrat,6-in-line,3-way toggle,South Korea,Floyd Rose 1000SE,Locking Nut 42mm,Grover Tuners,Fishman Fluence Modern Ceramic,,Fishman Fluence Modern Alnico
ESP LTD,MH-1000 EverTune,,,6,25.5,25.5,24,Stainless steel,false,Macassar Ebony,,Set-neck,3-piece Maple,,,,42.0,Mahogany/Flamed Maple Top,Superstrat,6-in-line,3-way toggle,South Korea,Evertune F Model,Molded Nut 42mm,Grover Tuners,Fishman Fluence Modern Ceramic,,Fishman Fluence Modern Alnico
ESP LTD,MH-1000NT,,,6,25.5,25.5,24,Stainless steel,false,Macassar Ebony,,Set-neck,3-piece Maple,,,,42.0,Mahogany/Flamed Maple Top,Superstrat,6-in-line,3-way toggle,South Korea,TonePros Locking TOM String-Thru,Molded Nut 42mm,LTD Locking Tuners,Fishman Fluence Modern Ceramic,,Fishman Fluence Modern Alnico
ESP LTD,M-1000,,,6,25.5,25.5,24,Stainless steel,false,Macassar Ebony,,Neck-through,3-piece Maple,,,,43.0,Alder,Superstrat,6-in-line,3-way toggle,South Korea,Floyd Rose 1000SE,Locking Nut 43mm,Grover Tuners,Fishman Fluence Modern Ceramic,,Fishman Fluence Modern Alnico
ESP LTD,Arrow-1000,,,6,25.5,25.5,24,Stainless steel,false,Macassar Ebony,,Neck-through,3-piece Maple,,,,42.0,Mahogany/Quilted Maple Top,Explorer,6-in-line,3-way toggle,South Korea,Floyd Rose 1000SE,Locking Nut 42mm,Grover Tuners,Fishman Fluence Modern Ceramic,,Fishman Fluence Modern Alnico
ESP LTD,Arrow-1000NT,,,6,25.5,25.5,24,Stainless steel,false,Macassar Ebony,,Neck-through,3-piece Maple,,,,42.0,Mahogany,Explorer,6-in-line,3-way toggle,South Korea,TonePros Locking TOM String-Thru,Molded Nut 42mm,LTD Locking Tuners,Fishman Fluence Modern Ceramic,,Fishman Fluence Modern Alnico
ESP LTD,Arrow-1007 Baritone EverTune,,,7,27.0,27.0,24,Stainless steel,false,Macassar Ebony,,Neck-through,3-piece Maple,,,,48.0,Mahogany/Maple Top,Explorer,7-in-line,3-way toggle,South Korea,Evertune F Model,Molded Nut 48mm,Grover Tuners,Fishman Fluence Modern Ceramic,,Fishman Fluence Modern Alnico
ESP LTD,LTD Snakebyte,,,6,24.75,24.75,22,Nickel-silver,false,Macassar Ebony,,Set-neck,Mahogany,Thin U,,,42.0,Mahogany,Explorer,3+3,3-way toggle,South Korea,TonePros Locking TOM & Tailpiece,Molded Nut 42mm,LTD Locking Tuners,EMG JH HET Set,,EMG JH HET Set
ESP LTD,LTD Iron Cross,,,6,24.75,24.75,22,Nickel-silver,false,Macassar Ebony,,Set-neck,Mahogany,Thin U,,,42.0,Mahogany/Maple Top,Explorer,3+3,3-way toggle,South Korea,TonePros Locking TOM & Tailpiece,Molded Nut 42mm,LTD Locking Tuners,EMG JH HET Set,,EMG JH HET Set
ESP LTD,KH-602,,,6,25.5,25.5,24,Nickel-silver,false,Macassar Ebony,,Neck-through,3-piece Maple,,,,42.0,Alder,Superstrat,6-in-line,3-way toggle,South Korea,Floyd Rose 1000,Locking Nut 42mm,LTD Tuners,EMG KH Bone Breaker Set,,EMG KH Bone Breaker Set
ESP LTD,Phoenix-1000,,,6,25.5,25.5,22,Stainless steel,false,Macassar Ebony,,Neck-through,Mahogany,Thin U,,,42.0,Mahogany,Single-cut,3+3,3-way toggle,South Korea,TonePros Locking TOM & Tailpiece,Molded Nut 42mm,LTD Locking Tuners,SD Custom,,SD Phat Cat
ESP LTD,SC-607B Baritone,,,7,27.0,27.0,24,Nickel-silver,false,Macassar Ebony,,Neck-through,3-piece Maple,Thin U,,,48.0,Alder,Superstrat,7-in-line,5-way,South Korea,TonePros Locking TOM String-Thru,Molded Nut 48mm,LTD Locking Tuners,Fishman Fluence SC 3-Voice Bridge,Fishman Fluence SC 3-Voice Mid,
ESP LTD,SC-608 Baritone,,,8,27.0,27.0,24,Nickel-silver,false,Macassar Ebony,,Neck-through,3-piece Maple,Thin U,,,54.0,Mahogany,Superstrat,8-in-line,5-way,South Korea,Hipshot Fixed String-Thru,Molded Nut 54mm,LTD Locking Tuners,Fishman Fluence SC 3-Voice Bridge,Fishman Fluence SC 3-Voice Mid,
ESP,Mirage Deluxe 87,1987,,6,25.5,25.5,22,Nickel-silver,false,Macassar Ebony,,Bolt-on,3-piece Maple,,,,43.0,Alder,Superstrat,6-in-line,5-way,Japan,Floyd Rose 1000,Locking Nut 43mm,LTD Tuners,SD Custom,,SD 59
ESP LTD,Viper-256,,,6,24.75,24.75,24,Nickel-silver,false,Jatoba,,Set-neck,Mahogany,Thin U,,,42.0,Mahogany,Viper,3+3,3-way toggle,South Korea,TOM & Tailpiece,Molded Nut 42mm,LTD Tuners,ESP LH-150B,,ESP LH-150N
Fender,Player II Stratocaster,2024,,6,25.5,25.5,22,Nickel-silver,false,Rosewood,9.5 in,Bolt-on,Maple,Modern C,,,42.0,Alder,Stratocaster,6-in-line,5-way blade,Mexico,Fender 2-Point Synchronized Tremolo,Fender Synthetic Bone Nut,Fender ClassicGear,Player Series Alnico 5 Strat,Player Series Alnico 5 Strat,Player Series Alnico 5 Strat
Fender,Player II Stratocaster HSS,2024,,6,25.5,25.5,22,Nickel-silver,false,Rosewood,9.5 in,Bolt-on,Maple,Modern C,,,42.0,Alder,Stratocaster,6-in-line,5-way blade,Mexico,Fender 2-Point Synchronized Tremolo,Fender Synthetic Bone Nut,Fender ClassicGear,Player Series Alnico 2 Humbucker,Player Series Alnico 5 Strat,Player Series Alnico 5 Strat
Fender,Player II Telecaster,2024,,6,25.5,25.5,22,Nickel-silver,false,Rosewood,9.5 in,Bolt-on,Maple,Modern C,,,42.0,Alder,Telecaster,6-in-line,3-way,Mexico,Fender 6-Saddle Tele String-Through,Fender Synthetic Bone Nut,Fender ClassicGear,Player Series Alnico 5 Tele,,Player Series Alnico 5 Tele
Fender,American Professional II Stratocaster,2020,,6,25.5,25.5,22,Nickel-silver,false,Rosewood,9.5 in,Bolt-on,Maple,Deep C,20.3,23.4,42.8,Alder,Stratocaster,6-in-line,5-way blade,USA,Fender 2-Point Synchronized Tremolo Cold-Roll Steel,Fender Bone Nut,Fender Deluxe Cast Sealed Locking,V-Mod II Single-Coil Strat,V-Mod II Single-Coil Strat,V-Mod II Single-Coil Strat
Fender,American Professional II Telecaster,2020,,6,25.5,25.5,22,Nickel-silver,false,Rosewood,9.5 in,Bolt-on,Maple,Deep C,20.3,23.4,42.8,Alder,Telecaster,6-in-line,3-way + push-pull,USA,Fender 3-Saddle AP II Tele Bridge,Fender Bone Nut,Fender Standard Cast Sealed Staggered,V-Mod II Single-Coil Tele Bridge,,V-Mod II Single-Coil Tele Neck
Fender,American Professional II Jazzmaster,2020,,6,25.5,25.5,22,Nickel-silver,false,Rosewood,9.5 in,Bolt-on,Maple,Deep C,20.3,23.4,42.8,Alder,Offset,6-in-line,3-way + push-pull,USA,,Fender Bone Nut,Fender Standard Cast Sealed Staggered,V-Mod II Single-Coil Jazzmaster,,V-Mod II Single-Coil Jazzmaster
Fender,American Ultra II Stratocaster,2024,,6,25.5,25.5,22,Nickel-silver,false,Maple,,Bolt-on,Quartersawn Maple,,,,42.8,Alder,Stratocaster,6-in-line,5-way + push-pull,USA,Fender 2-Point Ultra Synchronized Tremolo,Fender TUSQ Nut,Fender Deluxe Cast Sealed Locking,Ultra II Noiseless Vintage Strat,Ultra II Noiseless Vintage Strat,Ultra II Noiseless Vintage Strat
Fender,American Vintage II 1957 Stratocaster,2022,,6,25.5,25.5,21,Nickel-silver,false,Maple,7.25 in,Bolt-on,Maple,Soft V,,,42.0,Alder,Stratocaster,6-in-line,5-way blade,USA,Fender Vintage Synchronized Tremolo Chrome Cover,Fender Bone Nut,Fender Pure Vintage Single Line Fender,Pure Vintage 57 Single-Coil Strat,Pure Vintage 57 Single-Coil Strat,Pure Vintage 57 Single-Coil Strat
Fender,American Vintage II 1961 Stratocaster,2022,,6,25.5,25.5,21,Nickel-silver,false,Rosewood,7.25 in,Bolt-on,Maple,C-Shape,,,42.0,Alder,Stratocaster,6-in-line,5-way blade,USA,Fender Vintage Synchronized Tremolo Chrome Cover,Fender Bone Nut,Fender Pure Vintage Single Line Fender,Pure Vintage 61 Single-Coil Strat,Pure Vintage 61 Single-Coil Strat,Pure Vintage 61 Single-Coil Strat
Fender,American Vintage II 1951 Telecaster,2022,,6,25.5,25.5,21,Nickel-silver,false,Maple,7.25 in,Bolt-on,Maple,U-Shape,,,42.0,Ash,Telecaster,6-in-line,3-way,USA,Fender Pure Vintage 3-Saddle Tele Bridge,Fender Bone Nut,Fender Pure Vintage Single Line Fender,Pure Vintage 51 Single-Coil Tele Bridge,,Pure Vintage 51 Single-Coil Tele Neck
Fender,American Vintage II 1972 Telecaster Thinline,2022,,6,25.5,25.5,21,Nickel-silver,false,Maple,7.25 in,Bolt-on,Maple,C-Shape,,,42.0,Ash,Telecaster,6-in-line,3-way,USA,Fender 6-Saddle String-Through Tele Hardtail,Fender Bone Nut,Fender Pure Vintage Single Line Fender,Wide-Range CuNiFe Humbucker,,Wide-Range CuNiFe Humbucker
Fender,American Performer Stratocaster,2018,,6,25.5,25.5,22,Nickel-silver,false,Rosewood,9.5 in,Bolt-on,Maple,Modern C,,,42.8,Alder,Stratocaster,6-in-line,5-way blade,USA,Fender Vintage Synchronized Tremolo 6-Screw,Fender Synthetic Bone Nut,Fender ClassicGear,Yosemite Single-Coil Strat,Yosemite Single-Coil Strat,Yosemite Single-Coil Strat
Fender,American Performer Telecaster,2018,,6,25.5,25.5,22,Nickel-silver,false,Rosewood,9.5 in,Bolt-on,Maple,Modern C,,,42.8,Alder,Telecaster,6-in-line,3-way,USA,Fender 3-Saddle Tele Compensated Bridge,Fender Synthetic Bone Nut,Fender ClassicGear,Yosemite Single-Coil Tele Bridge,,Yosemite Single-Coil Tele Neck
Fender,Vintera II 50s Stratocaster,2023,,6,25.5,25.5,21,Nickel-silver,false,Maple,7.25 in,Bolt-on,Maple,Soft V,,,42.0,Alder,Stratocaster,6-in-line,5-way blade,Mexico,Fender Vintage Synchronized Tremolo 6-Screw,Fender Synthetic Bone Nut,Fender Vintage Style No Logo,Vintera 50s Strat Single-Coil,Vintera 50s Strat Single-Coil,Vintera 50s Strat Single-Coil
Fender,Vintera II 60s Stratocaster,2023,,6,25.5,25.5,21,Nickel-silver,false,Rosewood,7.25 in,Bolt-on,Maple,C-Shape,,,42.0,Alder,Stratocaster,6-in-line,5-way blade,Mexico,Fender Vintage Synchronized Tremolo 6-Screw,Fender Synthetic Bone Nut,Fender Vintage Style No Logo,Vintera 60s Strat Single-Coil,Vintera 60s Strat Single-Coil,Vintera 60s Strat Single-Coil
Fender,Vintera II 60s Telecaster,2023,,6,25.5,25.5,21,Nickel-silver,false,Rosewood,7.25 in,Bolt-on,Maple,C-Shape,,,42.0,Alder,Telecaster,6-in-line,3-way,Mexico,Fender 3-Saddle Tele Vintage Bridge,Fender Synthetic Bone Nut,Fender Vintage Style No Logo,Vintera 60s Tele Single-Coil,,Vintera 60s Tele Single-Coil
Fender,Vintera II 50s Telecaster,2023,,6,25.5,25.5,21,Nickel-silver,false,Maple,7.25 in,Bolt-on,Maple,U-Shape,,,42.0,Alder,Telecaster,6-in-line,3-way,Mexico,Fender 3-Saddle Tele Vintage Bridge,Fender Synthetic Bone Nut,Fender Vintage Style No Logo,Vintera 50s Tele Single-Coil Bridge,,Vintera 50s Tele Single-Coil Neck
Fender,Player Plus Stratocaster,2021,2024,6,25.5,25.5,22,Nickel-silver,false,Maple,12 in,Bolt-on,Maple,Modern C,,,42.8,Alder,Stratocaster,6-in-line,5-way blade,Mexico,Fender 2-Point Synchronized Tremolo,Fender Synthetic Bone Nut,Fender Deluxe Cast Sealed Locking,Player Plus Noiseless Strat,Player Plus Noiseless Strat,Player Plus Noiseless Strat
Fender,Player Plus Nashville Telecaster,2021,2024,6,25.5,25.5,22,Nickel-silver,false,Maple,12 in,Bolt-on,Maple,Modern C,,,42.8,Alder,Telecaster,6-in-line,5-way + push-pull,Mexico,Fender 6-Saddle Tele String-Through,Fender Synthetic Bone Nut,Fender Deluxe Cast Sealed Locking,Player Plus Noiseless Tele,Player Plus Noiseless Tele,Player Plus Noiseless Tele
Squier,Classic Vibe 60s Stratocaster,2019,,6,25.5,25.5,21,Nickel-silver,false,Indian Laurel,9.5 in,Bolt-on,Maple,C-Shape,,,42.0,Nyatoh,Stratocaster,6-in-line,5-way blade,Indonesia,Fender Vintage Synchronized Tremolo 6-Screw,Fender Bone Nut,Fender Vintage Style No Logo,Fender Designed Alnico Single-Coil Strat,Fender Designed Alnico Single-Coil Strat,Fender Designed Alnico Single-Coil Strat
Squier,Classic Vibe 50s Telecaster,2019,,6,25.5,25.5,21,Nickel-silver,false,Maple,9.5 in,Bolt-on,Maple,C-Shape,,,42.0,Poplar,Telecaster,6-in-line,3-way,China,Fender 3-Saddle Tele Vintage Bridge,Fender Synthetic Bone Nut,Fender Vintage Style No Logo,Fender Designed Alnico Single-Coil Tele,,Fender Designed Alnico Single-Coil Tele
Squier,Contemporary Stratocaster HH,2018,2021,6,25.5,25.5,22,Nickel-silver,false,Maple,12 in,Bolt-on,Maple,Slim C,,,42.0,Poplar,Stratocaster,6-in-line,3-way,China,Fender 2-Point Synchronized Tremolo,Fender Synthetic Bone Nut,,SQR Ceramic Humbucker,,SQR Ceramic Humbucker
Squier,Contemporary Telecaster HH,2018,,6,25.5,25.5,22,Nickel-silver,false,Maple,12 in,Bolt-on,Maple,Slim C,,,42.0,Poplar,Telecaster,6-in-line,3-way,China,Fender 6-Saddle Tele String-Through,Fender Synthetic Bone Nut,,SQR Ceramic Humbucker,,SQR Ceramic Humbucker
Gibson,Les Paul Standard 50s,2019,,6,24.75,24.75,22,Nickel-silver,false,Indian Rosewood,12 in,Set-neck,Mahogany,'59 Rounded,,,,Mahogany/Maple Top,Les Paul,3+3,3-way toggle,USA,Gibson ABR-1 Tune-o-matic,Gibson Graph Tech Nut,Gibson Vintage Deluxe Tuners,Burstbucker 2,,Burstbucker 1
Gibson,Les Paul Standard 60s,2019,,6,24.75,24.75,22,Nickel-silver,false,Indian Rosewood,12 in,Set-neck,Mahogany,'60s Slim Taper,,,,Mahogany/Maple Top,Les Paul,3+3,3-way toggle,USA,Gibson ABR-1 Tune-o-matic,Gibson Graph Tech Nut,Grover Rotomatic Kidney,Burstbucker 61T,,Burstbucker 61R
Gibson,Les Paul Studio,2019,,6,24.75,24.75,22,Nickel-silver,false,Indian Rosewood,12 in,Set-neck,Mahogany,'60s Slim Taper,,,43.1,Mahogany/Maple Top,Les Paul,3+3,3-way toggle,USA,Gibson Nashville Tune-o-matic,Gibson Graph Tech Nut,Grover Rotomatic Keystone,498T,,490R
Gibson,Les Paul Custom,2019,,6,24.75,24.75,22,Nickel-silver,false,Ebony,12 in,Set-neck,Mahogany,'60s Slim Taper,,,42.9,Mahogany/Maple Top,Les Paul,3+3,3-way toggle,USA,Gibson Nashville Tune-o-matic,Gibson Corian Nut,Grover Rotomatic Keystone,498T,,490R
Gibson,Les Paul Special,2019,,6,24.75,24.75,22,Nickel-silver,false,Rosewood,12 in,Set-neck,Mahogany,'59 Rounded,,,43.1,Mahogany,Double-cut,3+3,3-way toggle,USA,Gibson Wraparound Bridge,Gibson Graph Tech Nut,Gibson Vintage Deluxe Tuners,P-90,,P-90
Gibson,Les Paul Junior,2019,,6,24.75,24.75,22,Nickel-silver,false,Rosewood,12 in,Set-neck,Mahogany,'59 Rounded,,,43.1,Mahogany,Les Paul,3+3,None,USA,Gibson Wraparound Bridge,Gibson Graph Tech Nut,Gibson Vintage Deluxe Tuners,P-90 Dog Ear,,
Gibson,Les Paul Modern,2019,,6,24.75,24.75,22,Nickel-silver,false,Ebony,12 in,Set-neck,Mahogany,Asymmetric,,,43.1,Mahogany/Maple Top,Les Paul,3+3,3-way + push-pull,USA,Gibson Nashville Tune-o-matic,SG Graph Tech Nut,Grover Rotomatic Locking,Burstbucker Pro+,,Burstbucker Pro
Gibson,Les Paul Tribute,2019,,6,24.75,24.75,22,Nickel-silver,false,Rosewood,12 in,Set-neck,Mahogany,'59 Rounded,,,,Mahogany/Maple Top,Les Paul,3+3,3-way toggle,USA,Gibson Nashville Tune-o-matic,Gibson Graph Tech Nut,Grover Rotomatic Keystone,490T,,490R
Gibson,SG Standard,2019,,6,24.75,24.75,22,Nickel-silver,false,Rosewood,12 in,Set-neck,Mahogany,'59 Rounded,,,43.1,Mahogany,SG,3+3,3-way toggle,USA,Gibson Nashville Tune-o-matic,Gibson Graph Tech Nut,Grover Rotomatic Kidney,490T,,490R
Gibson,SG Standard '61,2019,,6,24.75,24.75,22,Nickel-silver,false,Rosewood,12 in,Set-neck,Mahogany,'60s Slim Taper,,,,Mahogany,SG,3+3,3-way toggle,USA,Gibson ABR-1 Tune-o-matic,Gibson Graph Tech Nut,Grover Rotomatic Kidney,Burstbucker 61T,,Burstbucker 61R
Gibson,SG Special,2019,,6,24.75,24.75,22,Nickel-silver,false,Rosewood,12 in,Set-neck,Mahogany,'60s Slim Taper,,,,Mahogany,SG,3+3,3-way toggle,USA,Gibson Wraparound Bridge,Gibson Graph Tech Nut,Gibson Vintage Deluxe Tuners,P-90,,P-90
Gibson,SG Junior,2019,,6,24.75,24.75,22,Nickel-silver,false,Rosewood,12 in,Set-neck,Mahogany,'60s Slim Taper,,,,Mahogany,SG,3+3,None,USA,Gibson Wraparound Bridge,Gibson Graph Tech Nut,Gibson Vintage Deluxe Tuners,P-90 Dog Ear,,
Gibson,SG Modern,2019,,6,24.75,24.75,24,Nickel-silver,false,Ebony,Compound 12-16 in,Set-neck,Mahogany,Asymmetric,,,43.1,Mahogany,SG,3+3,3-way + push-pull,USA,Gibson Nashville Tune-o-matic,SG Graph Tech Nut,Grover Rotomatic Locking,Burstbucker Pro+,,Burstbucker Pro
Gibson,Explorer,2019,,6,24.75,24.75,22,Nickel-silver,false,Rosewood,12 in,Set-neck,Mahogany,Modern C,,,43.1,Mahogany,Explorer,6-in-line,3-way toggle,USA,Gibson Nashville Tune-o-matic,Gibson Graph Tech Nut,Grover Rotomatic Keystone,Burstbucker 2,,Burstbucker 1
Gibson,Flying V,2019,,6,24.75,24.75,22,Nickel-silver,false,Rosewood,12 in,Set-neck,Mahogany,Modern C,,,43.1,Mahogany,Flying V,6-in-line,3-way toggle,USA,Gibson Nashville Tune-o-matic,Gibson Graph Tech Nut,Grover Rotomatic Keystone,490T,,490R
Gibson,Firebird,2019,,6,24.75,24.75,22,Nickel-silver,false,Rosewood,12 in,Neck-through,Mahogany,'60s Slim Taper,,,43.1,Mahogany,Firebird,Reverse 6-in-line,3-way toggle,USA,Gibson ABR-1 Tune-o-matic,Gibson Graph Tech Nut,Grover Rotomatic Mini,Firebird Mini Humbucker Lead,,Firebird Mini Humbucker Rhythm
Gibson,ES-335,2019,,6,24.75,24.75,22,Nickel-silver,false,Rosewood,12 in,Set-neck,Mahogany,Oval C,,,43.1,Mahogany,Semi-hollow,3+3,3-way toggle,USA,Gibson ABR-1 Tune-o-matic,Gibson Graph Tech Nut,Grover Rotomatic Kidney,Calibrated T-Type Lead,,Calibrated T-Type Rhythm
Gibson,ES-339,2019,,6,24.75,24.75,22,Nickel-silver,false,Rosewood,12 in,Set-neck,Mahogany,Oval C,,,43.1,Mahogany,Semi-hollow,3+3,3-way toggle,USA,Gibson ABR-1 Tune-o-matic,SG Graph Tech Nut,Grover Rotomatic Kidney,57 Classic Plus,,57 Classic
Gibson,ES-345,1959,,6,24.75,24.75,22,Nickel-silver,false,Rosewood,12 in,Set-neck,Mahogany,Oval C,22.4,25.4,43.0,Mahogany,Semi-hollow,3+3,Special,USA,Gibson ABR-1 Tune-o-matic,Gibson Graph Tech Nut,Gibson Vintage Deluxe Tuners,Calibrated T-Type Lead,,Calibrated T-Type Rhythm
Epiphone,Les Paul Standard 50s,2020,,6,24.75,24.75,22,Nickel-silver,false,Indian Laurel,12 in,Set-neck,Mahogany,'59 Rounded,,,,Mahogany/Maple Top,Les Paul,3+3,3-way toggle,China,Epiphone LockTone Tune-o-matic,Gibson Graph Tech Nut,Epiphone Vintage Deluxe Tuners,ProBucker-2,,ProBucker-1
Epiphone,SG Standard,2020,,6,24.75,24.75,22,Nickel-silver,false,Indian Laurel,12 in,Set-neck,Mahogany,'60s Slim Taper,,,43.0,Mahogany,SG,3+3,3-way toggle,China,Epiphone LockTone Tune-o-matic,Epiphone Graph Tech Nut,Grover Rotomatic 3+3,ProBucker-3,,ProBucker-2
Epiphone,Casino,1961,,6,24.75,24.75,22,Nickel-silver,false,Indian Laurel,12 in,Set-neck,Mahogany,'60s Slim Taper,,,42.7,Maple,Hollowbody,3+3,3-way toggle,China,Epiphone LockTone Tune-o-matic Trapeze,Epiphone Casino Graph Tech Nut,Epiphone Vintage Deluxe Tuners,P-90 PRO Dog Ear Bridge,,P-90 PRO Dog Ear Neck
Ibanez,RG550,1987,1994,6,25.5,25.5,24,Nickel-silver,false,Maple,,Bolt-on,Maple,Wizard,,,,Basswood,Superstrat,6-in-line,5-way,Japan,Edge Tremolo,Ibanez Locking Nut,Ibanez Die-Cast Tuners,V8,S1,V7
Ibanez,RG550 Genesis,2017,,6,25.5,25.5,24,Nickel-silver,false,Maple,,Bolt-on,5-piece Maple/Walnut,Wizard,,,,Basswood,Superstrat,6-in-line,5-way,Japan,Edge Tremolo,Ibanez Locking Nut,Ibanez Die-Cast Tuners,V8,S1,V7
Ibanez,RG570,1989,2002,6,25.5,25.5,24,Nickel-silver,false,Rosewood,,Bolt-on,Maple,Wizard,,,,Basswood,Superstrat,6-in-line,5-way,Japan,Edge Tremolo,Ibanez Locking Nut,Ibanez Die-Cast Tuners,V8,S1,V7
Ibanez,RG2550,2001,,6,25.5,25.5,24,Nickel-silver,false,Rosewood,,Bolt-on,5-piece Maple/Walnut,Wizard,,,,Basswood,Superstrat,6-in-line,5-way,Japan,Edge Zero II,Ibanez Locking Nut,Gotoh MG-T Locking,The Tone Zone,True Velvet,Air Norton
Ibanez,RG652AHM,2016,,6,25.5,25.5,24,Stainless steel,false,Birdseye Maple,,Bolt-on,5-piece Maple/Walnut,Super Wizard,,,,Ash,Superstrat,6-in-line,5-way,Japan,Edge Tremolo,Ibanez Locking Nut,Gotoh MG-T Locking,The Tone Zone,,Air Norton
